name,qty_ordered,order_id,store_id
Wholesale Honduras Sipping Chocolate 170g Tin,6.0,113,2.0
POP - Davao White Chocolate Nibble Bars,1.0,123,2.0
POP - Davao White Chocolate Pistachio Bars,1.0,123,2.0
Davao Natural Cocoa Powder 130g Tin,3.0,123,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,123,2.0
POP - Davao Bars,2.0,124,2.0
POP - Tanzania Bars,2.0,124,2.0
Wholesale Tanzania Roasted Cocoa Nibs,6.0,124,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,2.0,131,2.0
POP - Davao Bars,1.0,131,2.0
"POP - Cort̩és, Honduras Bars",1.0,131,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,131,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,132,2.0
POP Dark Milk Chocolate + Black Licorice CollaBARation Bar,1.0,132,2.0
POP Dark Chocolate + Crunchy Sugar Crystals and Vanilla Bean,1.0,132,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,132,2.0
POP Dark Chocolate + Coffee CollaBARation Bar,1.0,132,2.0
POP Dark Milk Chocolate + Black Licorice CollaBARation Bar,1.0,133,2.0
POP - Davao Bars,1.0,133,2.0
POP - Del Tambo Nibble Bars,1.0,133,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,2.0,133,2.0
POP - Davao White Chocolate Pistachio Bars,1.0,133,2.0
Wholesale Itty Bar Refill,1.0,133,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,3.0,133,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,3.0,133,2.0
Chocolate Tasting Kit,8.0,133,2.0
CASE - Askinosie Chocolate Hazelnut Spread,1.0,135,2.0
POP - Del Tambo Bars,1.0,135,2.0
POP - Davao White Chocolate Pistachio Bars,1.0,135,2.0
CASE Mexican-Style Sipping Chocolate,1.0,135,2.0
POP - Dark Chocolate + Peanut Butter Bars,1.0,135,2.0
Wholesale Mexican-Style Sipping Chocolate 170g Tin,12.0,143,2.0
Davao Natural Cocoa Powder 130g Tin,12.0,143,2.0
POP - Del Tambo Bars,1.0,145,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,145,2.0
POP - Dark Chocolate + Peanut Butter Bars,2.0,145,2.0
POP - Davao Bars,1.0,146,2.0
POP - Tanzania Bars,1.0,146,2.0
POP Dark Chocolate + Crunchy Sugar Crystals and Vanilla Bean,1.0,146,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,146,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,151,2.0
POP Dark Chocolate + Coffee CollaBARation Bar,1.0,151,2.0
POP - Dark Chocolate + Peanut Butter Bars,2.0,151,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,1.0,151,2.0
Chocolate Tasting Kit,8.0,151,2.0
Wholesale Mexican-Style Sipping Chocolate 170g Tin,6.0,172,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,2.0,172,2.0
Chocolate Tasting Kit,10.0,172,2.0
Wholesale Itty Bar Refill,1.0,173,2.0
POP Dark Chocolate + Crunchy Sugar Crystals and Vanilla Bean,1.0,173,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,1.0,173,2.0
POP - Davao Bars,1.0,174,2.0
POP - Tanzania Bars,1.0,174,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,174,2.0
Wholesale Itty Bar Refill,1.0,175,2.0
Wholesale Mexican-Style Sipping Chocolate 170g Tin,6.0,175,2.0
Chocolate Tasting Kit,3.0,175,2.0
Delivery Fee,1.0,175,2.0
POP - Davao Bars,1.0,176,2.0
"POP - Cort̩és, Honduras Bars",1.0,176,2.0
Wholesale Itty Bar Refill,1.0,176,2.0
Wholesale Mexican-Style Sipping Chocolate 170g Tin,6.0,176,2.0
Chocolate Tasting Kit,3.0,176,2.0
Delivery Fee,1.0,176,2.0
Wholesale Itty Bar Refill,1.0,177,2.0
Wholesale Mexican-Style Sipping Chocolate 170g Tin,6.0,177,2.0
Chocolate Tasting Kit,3.0,177,2.0
Delivery Fee,1.0,177,2.0
POP - Davao Bars,1.0,178,2.0
POP - Tanzania Bars,1.0,178,2.0
"POP - Cort̩és, Honduras Bars",1.0,178,2.0
Wholesale Itty Bar Refill,4.0,179,2.0
POP - Davao Bars,1.0,181,2.0
POP - Del Tambo Bars,1.0,181,2.0
POP - Del Tambo Nibble Bars,1.0,181,2.0
POP - Tanzania Bars,1.0,181,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,182,2.0
POP - Davao Bars,1.0,182,2.0
POP - Del Tambo Nibble Bars,1.0,182,2.0
POP - Tanzania Bars,1.0,182,2.0
"POP - Cort̩és, Honduras Bars",1.0,182,2.0
POP - Tanzania Bars,2.0,185,2.0
CASE Honduras Sipping Chocolate,1.0,185,2.0
Chocolate Tasting Kit,6.0,185,2.0
Chocolate Tasting Kit,6.0,186,2.0
Wholesale Itty Bar Refill,1.0,192,2.0
POP - Davao Bars,2.0,194,2.0
POP - Del Tambo Nibble Bars,1.0,194,2.0
POP - Tanzania Bars,2.0,194,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,194,2.0
CASE - Askinosie Chocolate Hazelnut Spread,1.0,195,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,2.0,195,2.0
"POP - Cort̩és, Honduras Bars",1.0,195,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,195,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,2.0,195,2.0
POP - Dark Chocolate + Peanut Butter Bars,1.0,195,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,2.0,195,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,201,2.0
POP - Tanzania Bars,1.0,201,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,201,2.0
Wholesale Mexican-Style Sipping Chocolate 170g Tin,6.0,201,2.0
POP - Davao Bars,1.0,202,2.0
POP - Del Tambo Bars,1.0,202,2.0
POP - Del Tambo Nibble Bars,1.0,202,2.0
POP - Tanzania Bars,1.0,202,2.0
"POP - Cort̩és, Honduras Bars",1.0,202,2.0
Wholesale Itty Bar Refill,1.0,202,2.0
POP - Dark Chocolate + Peanut Butter Bars,1.0,202,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,1.0,202,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,208,2.0
POP Dark Milk Chocolate + Black Licorice CollaBARation Bar,1.0,208,2.0
POP Dark Chocolate + Crunchy Sugar Crystals and Vanilla Bean,1.0,208,2.0
POP - Dark Chocolate + Peanut Butter Bars,1.0,208,2.0
Chocolate Tasting Kit,1.0,208,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,210,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,210,2.0
POP Dark Chocolate + Crunchy Sugar Crystals and Vanilla Bean,1.0,210,2.0
Chocolate Tasting Kit,6.0,210,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,213,2.0
POP Dark Milk Chocolate + Black Licorice CollaBARation Bar,1.0,213,2.0
POP - Del Tambo Nibble Bars,1.0,213,2.0
POP - Tanzania Bars,1.0,213,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,213,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,213,2.0
POP - Dark Chocolate + Peanut Butter Bars,1.0,213,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,2.0,214,2.0
POP - Davao Bars,1.0,214,2.0
POP - Tanzania Bars,1.0,214,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,214,2.0
POP - Dark Chocolate + Peanut Butter Bars,2.0,214,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,1.0,214,2.0
Half Bar - Dark Chocolate + Peanut Butter,2.0,217,2.0
Half Bar Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation,2.0,217,2.0
POP - Dark Chocolate + Peanut Butter Bars,2.0,218,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,2.0,218,2.0
POP - Del Tambo Bars,1.0,221,2.0
POP - Davao Bars,2.0,221,2.0
POP - Tanzania Bars,1.0,221,2.0
"POP - Cort̩és, Honduras Bars",1.0,221,2.0
Wholesale Itty Bar Refill,8.0,221,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,222,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,222,2.0
POP - Davao White Chocolate Pistachio Bars,1.0,222,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,3.0,223,2.0
POP - Del Tambo Bars,1.0,226,2.0
POP - Tanzania Bars,1.0,226,2.0
POP - Davao Dark Milk + Fleur de Sel Bar,1.0,226,2.0
POP Dark Chocolate + Coconut Sugar & Toasted Coconut CollaBARation Bar,1.0,226,2.0
POP Dark Milk Chocolate + Ancho Chile & Pistachio CollaBARation Bar,1.0,226,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,226,2.0
POP Dark Milk Chocolate + Black Licorice CollaBARation Bar,1.0,226,2.0
Wholesale Itty Bar Refill,1.0,226,2.0
Wholesale Mexican-Style Sipping Chocolate 170g Tin,1.0,226,2.0
POP Dark Chocolate + Malted Milk CollaBARation Bar,1.0,229,2.0
Wholesale Mexican-Style Sipping Chocolate 170g Tin,6.0,235,2.0
CASE - Askinosie Chocolate Hazelnut Spread,1.0,235,2.0
Chocolate Tasting Kit,6.0,235,2.0
Wholesale Itty Bar Refill,1.0,235,2.0
Wholesale Tanzania Roasted Cocoa Nibs,12.0,237,2.0
Chocolate Tasting Kit,15.0,237,2.0
POP - Tanzania Bars,1.0,238,2.0
